Wavel(nm)	T_abs	bandw(nm)
204.310961	0.000000	0.020874
204.331835	0.000000	0.020878
204.352713	0.000000	0.020882
204.373595	0.000000	0.020886
204.394481	0.000000	0.020891
204.415372	0.000000	0.020895
204.436267	0.000000	0.020899
204.457166	0.000000	0.020904
204.478070	0.000000	0.020908
204.498978	0.000000	0.020912
204.519890	0.000000	0.020916
204.540806	0.000000	0.020921
204.561727	0.000000	0.020925
204.582651	0.000000	0.020929
204.603581	0.000000	0.020933
204.624514	0.000000	0.020938
204.645452	0.000000	0.020942
204.666394	0.000000	0.020946
204.687340	0.000000	0.020951
204.708291	0.000000	0.020955
204.729246	0.000000	0.020959
204.750205	0.000000	0.020963
204.771168	0.000000	0.020968
204.792136	0.000000	0.020972
204.813108	0.000000	0.020976
204.834084	0.000000	0.020981
204.855065	0.000000	0.020985
204.876050	0.000000	0.020989
204.897039	0.000000	0.020994
204.918033	0.000000	0.020998
204.939031	0.000000	0.021002
204.960033	0.000000	0.021006
204.981039	0.000000	0.021011
205.002050	0.000000	0.021015
205.023065	0.000000	0.021019
205.044084	0.000000	0.021024
205.065108	0.000000	0.021028
205.086136	0.000000	0.021032
205.107168	0.000000	0.021037
205.128205	0.000000	0.021041
205.149246	0.000000	0.021045
205.170291	0.000000	0.021050
205.191341	0.000000	0.021054
205.212395	0.000000	0.021058
205.233453	0.000000	0.021063
205.254516	0.000000	0.021067
205.275582	0.000000	0.021071
205.296654	0.000000	0.021076
205.317729	0.000000	0.021080
205.338809	0.000000	0.021084
205.359893	0.000000	0.021089
205.380982	0.000000	0.021093
205.402075	0.000000	0.021097
205.423172	0.000000	0.021102
205.444273	0.000000	0.021106
205.465379	0.000000	0.021110
205.486489	0.000000	0.021115
205.507604	0.000000	0.021119
205.528723	0.000000	0.021123
205.549846	0.000000	0.021128
205.570973	0.000000	0.021132
205.592105	0.000000	0.021136
205.613241	0.000000	0.021141
205.634382	0.000000	0.021145
205.655527	0.000000	0.021149
205.676676	0.000000	0.021154
205.697830	0.000000	0.021158
205.718988	0.000000	0.021162
205.740150	0.000000	0.021167
205.761317	0.000000	0.021171
205.782488	0.000000	0.021175
205.803663	0.000000	0.021180
205.824843	0.000000	0.021184
205.846027	0.000000	0.021188
205.867216	0.000000	0.021193
