stationid tempinfo preciptype precipq frozenprecipfreq press1 press2 press3 tempdry dewpt 
03103KFLG FLG2006061320500350  NP           0.00             39993   23.380  23.375  23.370    72   28          
03103KFLG FLG2006061320510351  NP           0.00             39993   23.381  23.376  23.371    72   28          
03103KFLG FLG2006061320520352  NP           0.00             39993   23.381  23.376  23.371    72   28          
03103KFLG FLG2006061320530353  NP           0.00             39993   23.379  23.374  23.369    71   28          
03103KFLG FLG2006061320540354  NP           0.00             39993   23.381  23.376  23.371    72   28          
03103KFLG FLG2006061320550355  NP           0.00             39993   23.381  23.376  23.371    71   28          
03103KFLG FLG2006061320560356  NP           0.00             39993   23.381  23.376  23.371    71   28          
03103KFLG FLG2006061320570357  NP           0.00             39993   23.382  23.377  23.372    72   28          
03103KFLG FLG2006061320580358  NP           0.00             39993   23.382  23.377  23.372    71   28          
03103KFLG FLG2006061320590359  NP           0.00             39993   23.383  23.378  23.373    71   28          
03103KFLG FLG2006061321000400  NP           0.00             39993   23.383  23.378  23.372    71   28          
03103KFLG FLG2006061321010401  NP           0.00             39993   23.383  23.378  23.372    71   28          
03103KFLG FLG2006061321020402  NP           0.00             39993   23.383  23.378  23.373    71   28          
03103KFLG FLG2006061321030403  NP           0.00             39993   23.383  23.378  23.373    71   28          
03103KFLG FLG2006061321040404  NP           0.00             39993   23.383  23.378  23.373    71   28          
03103KFLG FLG2006061321050405  NP           0.00             39993   23.384  23.379  23.374    71   28          
03103KFLG FLG2006061321060406  NP           0.00             39993   23.384  23.379  23.374    71   28          
03103KFLG FLG2006061321070407  NP           0.00             39993   23.384  23.378  23.373    71   28          
03103KFLG FLG2006061321080408  NP           0.00             39993   23.383  23.378  23.373    70   28          
03103KFLG FLG2006061321090409  NP           0.00             39993   23.384  23.379  23.373    71   28          
03103KFLG FLG2006061321100410  NP           0.00             39993   23.384  23.379  23.374    71   28          
03103KFLG FLG2006061321110411  NP           0.00             39993   23.385  23.380  23.374    71   28          
03103KFLG FLG2006061321120412  NP           0.00             39993   23.384  23.379  23.374    71   28          
03103KFLG FLG2006061321130413  NP           0.00             39993   23.384  23.379  23.374    70   28          
03103KFLG FLG2006061321140414  NP           0.00             39993   23.384  23.379  23.374    71   28          
03103KFLG FLG2006061321150415  NP           0.00             39993   23.384  23.379  23.374    70   28          
03103KFLG FLG2006061321160416  NP           0.00             39993   23.384  23.379  23.374    70   28          
03103KFLG FLG2006061321170417  NP           0.00             39993   23.384  23.380  23.374    70   28          
03103KFLG FLG2006061321180418  NP           0.00             39993   23.385  23.380  23.375    70   28          
03103KFLG FLG2006061321190419  NP           0.00             39993   23.384  23.380  23.374    70   28          
03103KFLG FLG2006061321200420  NP           0.00             39993   23.385  23.380  23.375    70   28          
